3,71,48
4,79,46
11,89,5
10,97,5
19,105,0
20,110,0
19,112,0
15,108,0
14,108,0
15,105,0
18,107,0
16,105,0
17,107,0
16,104,0
20,106,0
17,106,0
15,105,0
19,105,0
16,103,0
14,99,6
10,95,5
4,93,57
4,91,55
2,87,56
1,86,55
0,83,55
1,79,54
1,76,53
1,76,55
0,72,53
1,69,54
0,66,52
1,64,53
0,63,52
0,62,54
0,63,52
1,64,53
0,63,52
1,65,51
1,64,53
0,64,50
0,62,51
0,60,51
1,58,49
0,55,48
0,54,48
0,54,49
1,54,48
0,53,47
0,50,45
0,49,46
0,44,43
0,42,41
1,39,40
0,38,39
0,38,37
3,34,37
4,32,37
3,31,35
4,31,36
5,29,35
2,27,31
3,28,33
6,27,32
5,26,31
6,25,31
3,27,31
3,27,29
3,28,29
5,26,29
3,27,29
3,26,29
7,25,29
6,23,26
4,22,24
4,22,24
5,20,25
4,19,22
5,19,22
7,17,19
3,17,20
5,17,18
5,16,18
4,15,17
0,44,34
0,52,39
0,61,45
1,73,51
13,85,5
11,96,5
19,104,0
16,103,0
23,110,0
20,109,0
19,109,0
18,107,0
17,110,0
21,114,0
23,113,0
20,114,0
21,115,0
19,114,0
21,115,0
20,112,0
21,109,0
22,107,0
18,103,0
19,100,0
13,99,6
6,96,60
8,92,58
1,91,59
5,88,57
1,84,57
1,80,58
0,77,58
1,75,56
2,72,55
1,72,58
1,69,56
2,68,56
1,67,54
0,68,55
1,67,57
1,67,53
0,68,54
0,65,52
0,64,50
0,63,52
0,61,51
0,60,51
1,58,51
0,55,49
2,55,49
0,53,47
0,50,47
0,46,43
1,46,43
0,42,41
1,42,41
2,37,39
1,36,37
3,34,36
2,33,36
2,31,35
3,31,35
2,31,35
3,28,33
5,25,32
6,27,32
4,28,30
1,29,32
1,29,32
1,29,31
3,29,30
4,26,29
4,25,28
3,24,26
5,24,27
4,22,24
5,20,23
6,20,23
5,19,22
4,18,21
6,17,21
4,18,21
6,15,20
5,16,18
2,34,31
1,36,32
0,39,36
0,45,40
0,55,44
0,64,48
4,76,55
15,85,5
12,94,5
17,102,0
23,106,0
22,109,0
24,112,0
24,117,0
23,120,0
23,121,0
23,125,0
25,127,0
25,125,0
24,123,0
22,118,0
21,117,0
22,115,0
25,112,0
22,110,0
21,107,0
18,104,0
19,103,0
18,102,0
5,92,61
2,91,62
5,89,62
1,86,58
3,83,61
1,81,60
1,78,58
1,75,60
1,73,59
1,72,61
2,71,58
0,70,59
0,71,58
0,70,54
0,70,54
1,69,55
0,67,55
1,64,52
0,63,55
0,60,50
1,57,50
0,55,49
2,55,49
0,53,47
0,49,46
0,48,45
0,46,43
1,40,40
0,38,39
0,35,37
1,35,37
2,34,37
3,32,36
3,31,37
5,29,33
4,29,33
4,29,33
3,30,34
1,32,34
3,33,33
2,32,32
2,32,34
4,30,31
3,28,29
3,27,29
4,24,25
6,23,25
6,21,24
6,21,24
5,19,22
4,19,22
7,18,20
4,18,19
4,18,19
3,15,17
0,34,33
